"","OBJECTID","STATE","DATE","POPULATION","NEWCONFIRMED","CUMCONFIRMED","NEWDEATHS","CUMDEATHS","NEWCD_NORM_500","CUMCD_NORM_500","NEWDEATHS_NORM_500","CUMDEATHS_NORM_500","SQMI","EVENT_CATG_S","SCORE","RESTRICTIONS","PHASED_REOPENING","COUNTYOPEN","STUSAB","LATITUDE","LONGITUDE","STATEFP","GNISID"
"1",1,"ALABAMA",2020-01-22,4951876,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"2",2,"ALABAMA",2020-01-23,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"3",3,"ALABAMA",2020-01-24,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"4",4,"ALABAMA",2020-01-25,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"5",5,"ALABAMA",2020-01-26,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"6",6,"ALABAMA",2020-01-27,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"7",7,"ALABAMA",2020-01-28,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"8",8,"ALABAMA",2020-01-29,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"9",9,"ALABAMA",2020-01-30,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"10",10,"ALABAMA",2020-01-31,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"11",11,"ALABAMA",2020-02-01,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"12",12,"ALABAMA",2020-02-02,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
"13",13,"ALABAMA",2020-02-03,4951876,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,"AL",32.806671,-86.7911299999999,1,1779775
