OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION(2017),POP_SQMI
1980,Jefferson,Alabama,1,73,1073,675422,601
69,Mobile,Alabama,1,97,1097,423262,335.8
1985,Madison,Alabama,1,89,1089,363655,447.5
1987,Montgomery,Alabama,1,101,1101,233192,291.5
1992,Shelby,Alabama,1,117,1117,214666,265.2
282,Tuscaloosa,Alabama,1,125,1125,211242,156.3
54,Baldwin,Alabama,1,3,1003,209227,127.6
1981,Lee,Alabama,1,81,1081,160403,260.4
1988,Morgan,Alabama,1,103,1103,120136,200.6
1967,Calhoun,Alabama,1,15,1015,117650,192.1
68,Houston,Alabama,1,69,1069,106275,182.8
1978,Etowah,Alabama,1,55,1055,103290,188.2
1986,Marshall,Alabama,1,95,1095,94664,151.9
275,Lauderdale,Alabama,1,77,1077,93545,129.8
1982,Limestone,Alabama,1,83,1083,91976,151.4
1991,St. Clair,Alabama,1,115,1115,87673,134.2
1974,Cullman,Alabama,1,43,1043,83698,110.9
1977,Elmore,Alabama,1,51,1051,82819,126
1993,Talladega,Alabama,1,121,1121,82204,108.1
1976,DeKalb,Alabama,1,49,1049,72113,92.6
283,Walker,Alabama,1,127,1127,66054,82
1990,Russell,Alabama,1,113,1113,60300,93.2
1966,Blount,Alabama,1,9,1009,57596,88.5
1965,Autauga,Alabama,1,1,1001,56319,93.2
269,Colbert,Alabama,1,33,1033,55293,88.9
1979,Jackson,Alabama,1,71,1071,53404,47.4
60,Coffee,Alabama,1,31,1031,52079,76.5
64,Dale,Alabama,1,45,1045,50346,89.5
1970,Chilton,Alabama,1,21,1021,44675,63.7
1975,Dallas,Alabama,1,47,1047,41394,41.7
1994,Tallapoosa,Alabama,1,123,1123,40942,53.4
65,Escambia,Alabama,1,53,1053,38596,40.5
62,Covington,Alabama,1,39,1039,38108,36.5
1968,Chambers,Alabama,1,17,1017,34225,56.8
71,Pike,Alabama,1,109,1109,33474,49.7
276,Lawrence,Alabama,1,79,1079,33468,46.7
271,Franklin,Alabama,1,59,1059,31740,49.1
278,Marion,Alabama,1,93,1093,30585,41.1
66,Geneva,Alabama,1,61,1061,27108,46.8
55,Barbour,Alabama,1,5,1005,27072,29.9
1969,Cherokee,Alabama,1,19,1019,25853,43.1
59,Clarke,Alabama,1,25,1025,25085,20
284,Winston,Alabama,1,133,1133,24318,38.5
268,Bibb,Alabama,1,7,1007,22932,36.6
1989,Randolph,Alabama,1,111,1111,22870,39.1
70,Monroe,Alabama,1,99,1099,22089,21.4
280,Pickens,Alabama,1,107,1107,21178,23.8
57,Butler,Alabama,1,13,1013,20621,26.5
277,Marengo,Alabama,1,91,1091,20210,20.6
1984,Macon,Alabama,1,87,1087,20174,32.9
72,Washington,Alabama,1,129,1129,17620,16.2
67,Henry,Alabama,1,67,1067,17565,30.9
270,Fayette,Alabama,1,57,1057,17103,27.2
273,Hale,Alabama,1,65,1065,15180,23.1
1972,Cleburne,Alabama,1,29,1029,15154,27
63,Crenshaw,Alabama,1,41,1041,14145,23.2
1971,Clay,Alabama,1,27,1027,14099,23.3
274,Lamar,Alabama,1,75,1075,13888,22.9
58,Choctaw,Alabama,1,23,1023,13369,14.5
281,Sumter,Alabama,1,119,1119,13340,14.6
61,Conecuh,Alabama,1,35,1035,12742,14.9
73,Wilcox,Alabama,1,131,1131,11298,12.5
1973,Coosa,Alabama,1,37,1037,10882,16.3
56,Bullock,Alabama,1,11,1011,10811,17.3
1983,Lowndes,Alabama,1,85,1085,10588,14.6
279,Perry,Alabama,1,105,1105,10241,14.1
272,Greene,Alabama,1,63,1063,8631,13.1
6,Anchorage,Alaska,2,20,2020,303152,174.9
421,Fairbanks North Star,Alaska,2,90,2090,101502,13.7
1223,Matanuska-Susitna,Alaska,2,170,2170,101160,4.1
1218,Kenai Peninsula,Alaska,2,122,2122,58066,3.5
1216,Juneau,Alaska,2,110,2110,33384,12.1
8,Bethel,Alaska,2,50,2050,17646,0.4
1221,Kodiak Island,Alaska,2,150,2150,14169,2.1
1220,Ketchikan Gateway,Alaska,2,130,2130,13808,2.9
1224,Nome,Alaska,2,180,2180,9668,0.4
1225,North Slope,Alaska,2,185,2185,9664,0.1
1232,Valdez-Cordova,Alaska,2,261,2261,9333,0.3
1229,Sitka,Alaska,2,220,2220,9162,3.1
1233,Kusilvak,Alaska,2,158,2158,7885,0.4
1226,Northwest Arctic,Alaska,2,188,2188,7749,0.2
1231,Southeast Fairbanks,Alaska,2,240,2240,6773,0.3
1228,Prince of Wales-Hyder,Alaska,2,198,2198,6096,1.6
4,Aleutians West,Alaska,2,16,2016,5609,1.6
1236,Yukon-Koyukuk,Alaska,2,290,2290,5419,0
415,Dillingham,Alaska,2,70,2070,4998,0.3
1227,Petersburg,Alaska,2,195,2195,3367,1
1,Aleutians East,Alaska,2,13,2013,3129,0.4
425,Haines,Alaska,2,100,2100,2529,1.1
1234,Wrangell,Alaska,2,275,2275,2362,0.9
824,Hoonah-Angoon,Alaska,2,105,2105,2116,0.3
408,Denali,Alaska,2,68,2068,1846,0.1
1222,Lake and Peninsula,Alaska,2,164,2164,1577,0.1
1230,Skagway,Alaska,2,230,2230,1046,2.2
407,Bristol Bay,Alaska,2,60,2060,900,1.7
1235,Yakutat,Alaska,2,282,2282,618,0.1
1345,Maricopa,Arizona,4,13,4013,4310918,467.3
1348,Pima,Arizona,4,19,4019,1029203,112
1349,Pinal,Arizona,4,21,4021,421992,78.5
1351,Yavapai,Arizona,4,25,4025,229102,28.2
1346,Mohave,Arizona,4,15,4015,210568,15.6
1352,Yuma,Arizona,4,27,4027,207370,37.6
1340,Coconino,Arizona,4,5,4005,142240,7.6
1339,Cochise,Arizona,4,3,4003,130158,20.9
1347,Navajo,Arizona,4,17,4017,108153,10.9
1338,Apache,Arizona,4,1,4001,70845,6.3
1341,Gila,Arizona,4,7,4007,54696,11.4
1350,Santa Cruz,Arizona,4,23,4023,46955,37.9
1342,Graham,Arizona,4,9,4009,39219,8.5
1344,La Paz,Arizona,4,12,4012,20195,4.5
1343,Greenlee,Arizona,4,11,4011,9954,5.4
335,Pulaski,Arkansas,5,119,5119,402928,498.9
840,Benton,Arkansas,5,7,5007,259076,293
853,Washington,Arkansas,5,143,5143,230614,242.1
851,Sebastian,Arkansas,5,131,5131,130368,238.5
306,Faulkner,Arkansas,5,45,5045,123888,186.5
338,Saline,Arkansas,5,125,5125,120353,164.8
300,Craighead,Arkansas,5,31,5031,108888,152.8
308,Garland,Arkansas,5,51,5051,99201,135
344,White,Arkansas,5,145,5145,80669,77.4
321,Lonoke,Arkansas,5,85,5085,73684,91.8
315,Jefferson,Arkansas,5,69,5069,71132,77.9
333,Pope,Arkansas,5,115,5115,64752,77.9
841,Crawford,Arkansas,5,33,5033,62606,103.7
301,Crittenden,Arkansas,5,35,5035,49669,77.9
310,Greene,Arkansas,5,55,5055,45083,77.8
323,Mississippi,Arkansas,5,93,5093,45003,48.9
848,Miller,Arkansas,5,91,5091,44074,69.3
287,Baxter,Arkansas,5,5,5005,42010,71.6
342,Union,Arkansas,5,139,5139,40886,38.7
288,Boone,Arkansas,5,9,5009,37747,62.7
312,Independence,Arkansas,5,63,5063,37680,48.8
311,Hot Spring,Arkansas,5,59,5059,33472,53.8
291,Carroll,Arkansas,5,15,5015,28267,44.2
316,Johnson,Arkansas,5,71,5071,26605,39
337,St. Francis,Arkansas,5,123,5123,26267,40.9
295,Cleburne,Arkansas,5,23,5023,25888,43.7
328,Ouachita,Arkansas,5,103,5103,24858,33.6
298,Columbia,Arkansas,5,27,5027,24674,32.2
332,Poinsett,Arkansas,5,111,5111,24551,32.2
293,Clark,Arkansas,5,19,5019,22930,26
846,Logan,Arkansas,5,83,5083,22303,30.5
843,Hempstead,Arkansas,5,57,5057,22301,30.1
346,Yell,Arkansas,5,149,5149,22086,23.3
299,Conway,Arkansas,5,29,5029,21204,37.4
286,Ashley,Arkansas,5,3,5003,20919,22.2
330,Phillips,Arkansas,5,107,5107,20428,28.1
849,Polk,Arkansas,5,113,5113,20391,23.6
305,Drew,Arkansas,5,43,5043,19257,23
285,Arkansas,Arkansas,5,1,5001,18790,18.2
309,Grant,Arkansas,5,53,5053,18385,29
314,Jackson,Arkansas,5,67,5067,17936,28
842,Franklin,Arkansas,5,47,5047,17899,28.9
852,Sevier,Arkansas,5,133,5133,17641,30.3
336,Randolph,Arkansas,5,121,5121,17619,26.9
302,Cross,Arkansas,5,37,5037,17482,28.1
340,Sharp,Arkansas,5,135,5135,17379,28.7
318,Lawrence,Arkansas,5,75,5075,16908,28.5
322,Marion,Arkansas,5,89,5089,16732,26.1
343,Van Buren,Arkansas,5,141,5141,16732,23.1
847,Madison,Arkansas,5,87,5087,16310,19.5
294,Clay,Arkansas,5,21,5021,15607,24.3
320,Lincoln,Arkansas,5,79,5079,14018,24.5
313,Izard,Arkansas,5,65,5065,13628,23.3
844,Howard,Arkansas,5,61,5061,13488,22.7
845,Little River,Arkansas,5,81,5081,12688,22.5
341,Stone,Arkansas,5,137,5137,12687,20.8
307,Fulton,Arkansas,5,49,5049,12264,19.8
304,Desha,Arkansas,5,41,5041,12014,14.7
289,Bradley,Arkansas,5,11,5011,11414,17.5
292,Chicot,Arkansas,5,17,5017,11204,16.2
331,Pike,Arkansas,5,109,5109,10978,17.9
329,Perry,Arkansas,5,105,5105,10401,18.6
850,Scott,Arkansas,5,127,5127,10375,11.6
319,Lee,Arkansas,5,77,5077,9665,15.6
325,Montgomery,Arkansas,5,97,5097,9072,11.3
326,Nevada,Arkansas,5,99,5099,8759,14.1
296,Cleveland,Arkansas,5,25,5025,8373,14
334,Prairie,Arkansas,5,117,5117,8349,12.4
327,Newton,Arkansas,5,101,5101,8037,9.8
339,Searcy,Arkansas,5,129,5129,7913,11.8
303,Dallas,Arkansas,5,39,5039,7526,11.3
324,Monroe,Arkansas,5,95,5095,7496,12.1
317,Lafayette,Arkansas,5,73,5073,7141,13.1
345,Woodruff,Arkansas,5,147,5147,6784,11.4
290,Calhoun,Arkansas,5,13,5013,5234,8.3
1358,Los Angeles,California,6,37,6037,10275545,2514.1
1364,San Diego,California,6,73,6073,3328647,785.7
1361,Orange,California,6,59,6059,3229809,4042.1
1362,Riverside,California,6,65,6065,2388710,327.1
1363,San Bernardino,California,6,71,6071,2153382,107.1
1267,Santa Clara,California,6,85,6085,1958087,1508.1
1237,Alameda,California,6,1,6001,1647386,2214
1260,Sacramento,California,6,67,6067,1513201,1522.5
1242,Contra Costa,California,6,13,6013,1135585,1494.9
1354,Fresno,California,6,19,6019,989303,164.6
1357,Kern,California,6,29,6029,897549,110
1262,San Francisco,California,6,75,6075,871042,18384.2
1366,Ventura,California,6,111,6111,861790,464.1
1265,San Mateo,California,6,81,6081,763610,1672.1
1263,San Joaquin,California,6,77,6077,744029,521.6
1274,Stanislaus,California,6,99,6099,540604,357.1
1273,Sonoma,California,6,97,6097,509142,320.2
1365,Tulare,California,6,107,6107,467780,96.7
1266,Santa Barbara,California,6,83,6083,449510,163.4
1272,Solano,California,6,95,6095,439903,494.4
1255,Monterey,California,6,53,6053,431696,130.2
1258,Placer,California,6,61,6061,381674,254.1
1264,San Luis Obispo,California,6,79,6079,284693,85.8
1268,Santa Cruz,California,6,87,6087,278575,623.6
1253,Merced,California,6,47,6047,271689,137.4
1250,Marin,California,6,41,6041,261748,498
1239,Butte,California,6,7,6007,229177,136.6
1279,Yolo,California,6,113,6113,216044,211.1
1244,El Dorado,California,6,17,6017,191254,107.1
1355,Imperial,California,6,25,6025,182795,40.8
1269,Shasta,California,6,89,6089,181656,47.2
1359,Madera,California,6,39,6039,156213,72.5
1247,Kings,California,6,31,6031,152405,109.5
1256,Napa,California,6,55,6055,143012,181.4
1246,Humboldt,California,6,23,6023,138972,38.8
1257,Nevada,California,6,57,6057,101215,103.9
1275,Sutter,California,6,101,6101,97309,159.9
1252,Mendocino,California,6,45,6045,89584,25.5
1280,Yuba,California,6,115,6115,76307,118.6
1248,Lake,California,6,33,6033,65976,49.6
1276,Tehama,California,6,103,6103,65042,22
1261,San Benito,California,6,69,6069,59354,42.7
1278,Tuolumne,California,6,109,6109,55346,24.3
1271,Siskiyou,California,6,93,6093,45000,7.1
1240,Calaveras,California,6,9,6009,44859,43.3
1238,Amador,California,6,5,6005,37913,62.6
1249,Lassen,California,6,35,6035,32275,6.8
1245,Glenn,California,6,21,6021,28774,21.7
1243,Del Norte,California,6,15,6015,27363,27
1241,Colusa,California,6,11,6011,22344,19.3
1259,Plumas,California,6,63,6063,19292,7.4
1356,Inyo,California,6,27,6027,18416,1.8
1251,Mariposa,California,6,43,6043,18014,12.3
1360,Mono,California,6,51,6051,13680,4.4
1277,Trinity,California,6,105,6105,13367,4.2
1254,Modoc,California,6,49,6049,9489,2.3
1270,Sierra,California,6,91,6091,3079,3.2
1353,Alpine,California,6,3,6003,1080,1.5
868,Denver,Colorado,8,31,8031,699791,4523.8
872,El Paso,Colorado,8,41,8041,692861,325.4
856,Arapahoe,Colorado,8,5,8005,637891,792
878,Jefferson,Colorado,8,59,8059,578496,747.2
854,Adams,Colorado,8,1,8001,499042,421.6
882,Larimer,Colorado,8,69,8069,344588,130.8
869,Douglas,Colorado,8,35,8035,335339,398
859,Boulder,Colorado,8,13,8013,328355,443.5
898,Weld,Colorado,8,123,8123,298207,74.2
891,Pueblo,Colorado,8,101,8101,165715,69.1
1374,Mesa,Colorado,8,77,8077,153147,45.8
860,Broomfield,Colorado,8,14,8014,68917,2052.9
1370,Garfield,Colorado,8,45,8045,60243,20.4
1373,La Plata,Colorado,8,67,8067,56330,33.1
870,Eagle,Colorado,8,37,8037,54768,32.4
873,Fremont,Colorado,8,43,8043,47250,30.8
1378,Montrose,Colorado,8,85,8085,42170,18.8
895,Summit,Colorado,8,117,8117,30492,49.2
1368,Delta,Colorado,8,29,8029,30485,26.5
886,Morgan,Colorado,8,87,8087,28772,22.2
1377,Montezuma,Colorado,8,83,8083,27171,13.3
871,Elbert,Colorado,8,39,8039,25458,13.8
1382,Routt,Colorado,8,107,8107,24334,10.3
896,Teller,Colorado,8,119,8119,24213,43.3
885,Logan,Colorado,8,75,8075,22477,12.2
861,Chaffee,Colorado,8,15,8015,19280,19
887,Otero,Colorado,8,89,8089,18563,14.6
1380,Pitkin,Colorado,8,97,8097,18452,19
888,Park,Colorado,8,93,8093,17257,7.8
855,Alamosa,Colorado,8,3,8003,17017,23.5
1371,Gunnison,Colorado,8,51,8051,16461,5
875,Grand,Colorado,8,49,8049,15157,8.1
883,Las Animas,Colorado,8,71,8071,14370,3
1376,Moffat,Colorado,8,81,8081,13738,2.9
1367,Archuleta,Colorado,8,7,8007,12563,9.3
890,Prowers,Colorado,8,99,8099,11883,7.2
892,Rio Grande,Colorado,8,105,8105,11731,12.9
899,Yuma,Colorado,8,125,8125,10274,4.3
863,Clear Creek,Colorado,8,19,8019,9426,23.8
864,Conejos,Colorado,8,21,8021,8132,6.3
1384,San Miguel,Colorado,8,113,8113,8043,6.2
881,Lake,Colorado,8,65,8065,7877,20.5
880,Kit Carson,Colorado,8,63,8063,7677,3.6
876,Huerfano,Colorado,8,55,8055,6796,4.3
1381,Rio Blanco,Colorado,8,103,8103,6462,2
893,Saguache,Colorado,8,109,8109,6378,2
874,Gilpin,Colorado,8,47,8047,6077,40.4
858,Bent,Colorado,8,11,8011,5943,3.9
866,Crowley,Colorado,8,25,8025,5646,7.1
884,Lincoln,Colorado,8,73,8073,5570,2.2
897,Washington,Colorado,8,121,8121,5037,2
1379,Ouray,Colorado,8,91,8091,4741,8.7
867,Custer,Colorado,8,27,8027,4652,6.3
889,Phillips,Colorado,8,95,8095,4458,6.5
865,Costilla,Colorado,8,23,8023,3640,3
857,Baca,Colorado,8,9,8009,3634,1.4
894,Sedgwick,Colorado,8,115,8115,2446,4.5
1369,Dolores,Colorado,8,33,8033,1990,1.9
862,Cheyenne,Colorado,8,17,8017,1786,1
879,Kiowa,Colorado,8,61,8061,1418,0.8
877,Jackson,Colorado,8,57,8057,1365,0.8
1372,Hinsdale,Colorado,8,53,8053,769,0.7
1375,Mineral,Colorado,8,79,8079,750,0.9
1383,San Juan,Colorado,8,111,8111,699,1.8
2184,Fairfield,Connecticut,9,1,9001,964796,1495.2
2185,Hartford,Connecticut,9,3,9003,906357,1207.6
2188,New Haven,Connecticut,9,9,9009,873829,1411.2
2189,New London,Connecticut,9,11,9011,276496,405.1
2186,Litchfield,Connecticut,9,5,9005,187185,198.1
2187,Middlesex,Connecticut,9,7,9007,166528,436
2190,Tolland,Connecticut,9,13,9013,154772,371.1
2191,Windham,Connecticut,9,15,9015,118762,227.7
3124,New Castle,Delaware,10,3,10003,566709,1306.1
3125,Sussex,Delaware,10,5,10005,226778,240.3
3123,Kent,Delaware,10,1,10001,177916,297.4
3126,District of Columbia,District of Columbia,11,1,11001,674875,10851.8
2939,Miami-Dade,Florida,12,86,12086,2702302,1365.3
2937,Broward,Florida,12,11,12011,1883555,1538.2
2940,Palm Beach,Florida,12,99,12099,1441728,650.7
100,Hillsborough,Florida,12,57,12057,1382695,1288.1
118,Orange,Florida,12,95,12095,1332714,1328.2
121,Pinellas,Florida,12,103,12103,968279,3322.6
87,Duval,Florida,12,31,12031,932755,1098.2
107,Lee,Florida,12,71,12071,720426,880.2
122,Polk,Florida,12,105,12105,662431,329.4
78,Brevard,Florida,12,9,12009,578927,545.3
132,Volusia,Florida,12,127,12127,528719,433.3
120,Pasco,Florida,12,101,12101,512082,669.3
127,Seminole,Florida,12,117,12117,457650,1326
126,Sarasota,Florida,12,115,12115,414899,716.3
112,Manatee,Florida,12,81,12081,376566,500.4
83,Collier,Florida,12,21,12021,368652,180.9
113,Marion,Florida,12,83,12083,350915,211
106,Lake,Florida,12,69,12069,339742,293.6
119,Osceola,Florida,12,97,12097,333980,221.9
88,Escambia,Florida,12,33,12033,317676,475.4
2941,St. Lucie,Florida,12,111,12111,302601,523.4
108,Leon,Florida,12,73,12073,288630,411.1
74,Alachua,Florida,12,1,12001,262216,270.6
124,St. Johns,Florida,12,109,12109,238439,362
82,Clay,Florida,12,19,12019,209524,325.5
116,Okaloosa,Florida,12,91,12091,198210,211.3
98,Hernando,Florida,12,53,12053,182273,372.6
76,Bay,Florida,12,5,12005,180035,233.6
80,Charlotte,Florida,12,15,12015,173978,244.2
125,Santa Rosa,Florida,12,113,12113,171747,167.6
2938,Martin,Florida,12,85,12085,156333,235
102,Indian River,Florida,12,61,12061,149718,290.1
81,Citrus,Florida,12,17,12017,144825,229.3
128,Sumter,Florida,12,119,12119,125329,216.1
89,Flagler,Florida,12,35,12035,108166,214.2
99,Highlands,Florida,12,55,12055,102012,92.2
115,Nassau,Florida,12,89,12089,80628,120.9
114,Monroe,Florida,12,87,12087,77537,73.9
123,Putnam,Florida,12,107,12107,74098,89.6
84,Columbia,Florida,12,23,12023,69419,86.7
134,Walton,Florida,12,131,12131,64209,60
103,Jackson,Florida,12,63,12063,50086,52.5
