"","STATE","SQMI","DATE","EVENT_CATG_S","SCORE","GNISID","RESTRICTIONS","PHASED_REOPENING","COUNTYLEVEL","FACECOVER_RQD","OBJECTID","POPULATION","NEWCONFIRMED","CUMCONFIRMED","NEWDEATHS","CUMDEATHS","NEWCD_NORM_500","CUMCD_NORM_500","NEWDEATHS_NORM_500","CUMDEATHS_NORM_500","STUSAB","LATITUDE","LONGITUDE","STATEFP"
"1","ALABAMA",NA,2020-01-22,NA,0,NA,NA,NA,NA,NA,256,4951876,NA,0,NA,0,NA,0,NA,0,"AL",32.806671,-86.79113,1
"2","ALABAMA",NA,2020-01-23,NA,0,NA,NA,NA,NA,NA,1,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"3","ALABAMA",NA,2020-01-24,NA,0,NA,NA,NA,NA,NA,2,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"4","ALABAMA",NA,2020-01-25,NA,0,NA,NA,NA,NA,NA,3,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"5","ALABAMA",NA,2020-01-26,NA,0,NA,NA,NA,NA,NA,4,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"6","ALABAMA",NA,2020-01-27,NA,0,NA,NA,NA,NA,NA,5,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"7","ALABAMA",NA,2020-01-28,NA,0,NA,NA,NA,NA,NA,6,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"8","ALABAMA",NA,2020-01-29,NA,0,NA,NA,NA,NA,NA,7,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"9","ALABAMA",NA,2020-01-30,NA,0,NA,NA,NA,NA,NA,8,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"10","ALABAMA",NA,2020-01-31,NA,0,NA,NA,NA,NA,NA,9,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"11","ALABAMA",NA,2020-02-01,NA,0,NA,NA,NA,NA,NA,10,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"12","ALABAMA",NA,2020-02-02,NA,0,NA,NA,NA,NA,NA,11,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"13","ALABAMA",NA,2020-02-03,NA,0,NA,NA,NA,NA,NA,12,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"14","ALABAMA",NA,2020-02-04,NA,0,NA,NA,NA,NA,NA,13,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"15","ALABAMA",NA,2020-02-05,NA,0,NA,NA,NA,NA,NA,14,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"16","ALABAMA",NA,2020-02-06,NA,0,NA,NA,NA,NA,NA,15,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"17","ALABAMA",NA,2020-02-07,NA,0,NA,NA,NA,NA,NA,16,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"18","ALABAMA",NA,2020-02-08,NA,0,NA,NA,NA,NA,NA,17,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"19","ALABAMA",NA,2020-02-09,NA,0,NA,NA,NA,NA,NA,18,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"20","ALABAMA",NA,2020-02-10,NA,0,NA,NA,NA,NA,NA,19,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"21","ALABAMA",NA,2020-02-11,NA,0,NA,NA,NA,NA,NA,20,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
"22","ALABAMA",NA,2020-02-12,NA,0,NA,NA,NA,NA,NA,21,4951876,0,0,0,0,0,0,0,0,"AL",32.806671,-86.79113,1
